Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,0.0,4.76,False,0.0,0.0,0.0,100.0
#10,102.4,2.0,False,20.521042084168336,102.4,20.521042084168336,79.47895791583167
#20,105.0,0.84,False,21.04208416833667,207.4,41.56312625250501,58.43687374749499
#30,52.6,0.59,False,10.541082164328657,260.0,52.104208416833664,47.895791583166336
#40,31.4,0.42,False,6.292585170340681,291.4,58.39679358717434,41.60320641282566
#50,31.8,0.297,False,6.372745490981964,323.2,64.76953907815631,35.23046092184369
#60,9.4,0.25,False,1.8837675350701404,332.59999999999997,66.65330661322645,33.34669338677355
#80,21.0,0.177,False,4.208416833667335,353.59999999999997,70.86172344689378,29.138276553106223
#100,10.8,0.149,False,2.164328657314629,364.4,73.0260521042084,26.973947895791596
#200,27.4,0.074,False,5.490981963927855,391.79999999999995,78.51703406813625,21.482965931863745
Pan,107.2,,True,21.482965931863728,498.99999999999994,99.99999999999999,1.4210854715202004e-14
