Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,1.34,4.76,False,0.13063739349152806,1.34,0.13063739349152806,99.86936260650847
#10,7.26,2.0,False,0.7077816990660402,8.6,0.8384190925575682,99.16158090744243
#20,25.42,0.84,False,2.478210852652719,34.02,3.316629945210287,96.68337005478972
#30,42.4,0.59,False,4.133601107493127,76.42,7.450231052703414,92.54976894729658
#40,43.96,0.42,False,4.285686431259384,120.38,11.735917483962798,88.2640825160372
#50,54.28,0.297,False,5.291789342328466,174.66,17.027706826291265,82.97229317370874
#60,32.2,0.25,False,3.1391970674829883,206.86,20.166903893774254,79.83309610622575
#80,163.22,0.177,False,15.91241445200538,370.08000000000004,36.07931834577963,63.92068165422037
#100,140.52,0.149,False,13.699378010022034,510.6,49.77869635580167,50.22130364419833
#200,327.0,0.074,False,31.879423635619162,837.6,81.65811999142083,18.341880008579167
Pan,188.14,,True,18.34188000857917,1025.74,100.0,0.0
