Sieve,Sample_Mass(g),Size_mm,Is_Pan,Percent_Retained,Cumulative_Retained_g,Cumulative_Percent_Retained,Percent_Passing
#4,0.0,4.76,False,0.0,0.0,0.0,100.0
#10,1.14,2.0,False,0.21928980879467547,1.14,0.21928980879467547,99.78071019120533
#20,81.28,0.84,False,15.634978648097563,82.42,15.854268456892239,84.14573154310776
#30,53.34,0.59,False,10.260454737814026,135.76,26.114723194706265,73.88527680529373
#40,42.74,0.42,False,8.221444234986341,178.5,34.33616742969261,65.66383257030739
#50,38.18,0.297,False,7.34428499980764,216.68,41.68045242950025,58.31954757049975
#60,12.86,0.25,False,2.4737429307890584,229.54000000000002,44.15419536028931,55.84580463971069
#80,29.2,0.177,False,5.616896856846074,258.74,49.77109221713538,50.22890778286462
#100,15.6,0.149,False,3.000807909821875,274.34000000000003,52.771900126957256,47.228099873042744
#200,39.5,0.074,False,7.598199515254107,313.84000000000003,60.370099642211365,39.629900357788635
Pan,206.02,,True,39.629900357788635,519.86,100.0,0.0
